event_id,mag,longitude,latitude,depth (km),code,distance (km),vs30,pga (%g),pgv (cm/s),max_sa(0.3),max_sa(1.0),max_sa(3.0),E-pgv (cm/s),E-sa(0.3) (%g),E-sa(1.0) (%g),E-sa(3.0) (%g),E-pga (%g),N-pgv (cm/s),N-sa(0.3) (%g),N-sa(1.0) (%g),N-sa(3.0) (%g),N-pga (%g)
024gmssb5w,4,-151.7336,60.205,64,K210,155.459,269.1,0.0226,0.0099,0.0352,0.0094,0.0005,0.0056,0.0352,0.0055,0.0004,0.0193,0.0099,0.031,0.0094,0.0005,0.0226
024gmssb5w,4,-151.7336,60.205,64,K211,159.425,286.25,0.0225,0.0064,0.0364,0.0039,0.0007,0.0064,0.0364,0.0024,0.0007,0.0225,0.0053,0.0324,0.0039,0.0005,0.0167
024gmssb5w,4,-151.7336,60.205,64,K212,162.133,317.72,0.0196,0.0062,0.0344,0.0036,0.0003,0.0038,0.0176,0.002,0.0002,0.0141,0.0062,0.0344,0.0036,0.0003,0.0196
024gmssb5w,4,-151.7336,60.205,64,K213,156.761,343.94,0.0215,0.0068,0.0433,0.0075,0.0007,0.0068,0.0408,0.0048,0.0003,0.0215,0.0064,0.0433,0.0075,0.0007,0.0196
024gmssb5w,4,-151.7336,60.205,64,K215,158.783,550.24,0.039,0.0138,0.1019,0.0049,0.0006,0.0127,0.0798,0.0049,0.0006,0.0264,0.0138,0.1019,0.003,0.0005,0.039
024gmssb5w,4,-151.7336,60.205,64,K217,189.667,452.27,0.0182,0.0061,0.0244,0.0023,0.0003,0.0048,0.0192,0.0023,0.0002,0.0171,0.0061,0.0244,0.0023,0.0003,0.0182
024gmssb5w,4,-151.7336,60.205,64,K220,153.177,436.57,0.0114,0.0046,0.0257,0.0036,0.0004,0.0045,0.0231,0.0036,0.0003,0.0114,0.0046,0.0257,0.003,0.0004,0.0093
024gmssb5w,4,-151.7336,60.205,64,K221,156.494,211.6,0.0173,0.01,0.0442,0.0099,0.0007,0.01,0.0442,0.0099,0.0006,0.0173,0.0076,0.0249,0.009,0.0007,0.0164
024gmssb5w,4,-151.7336,60.205,64,K222,155.805,478.16,0.025,0.0074,0.0364,0.006,0.0005,0.0058,0.0364,0.006,0.0003,0.024,0.0074,0.0351,0.0047,0.0005,0.025
024gmssb5w,4,-151.7336,60.205,64,K223,165.372,426.51,0.015,0.0059,0.0194,0.0061,0.0004,0.0041,0.0194,0.0061,0.0004,0.015,0.0059,0.0152,0.0056,0.0004,0.0104
024gmssb5w,4,-151.7336,60.205,64,KLU,350.917,760.0,0.0078,0.0031,0.0115,0.0013,0.0002,0.0026,0.009,0.0007,0.0001,0.0068,0.0031,0.0115,0.0013,0.0002,0.0078
024gmssb5w,4,-151.7336,60.205,64,L22K,270.931,760.0,null,0.0005,0.0032,0.0004,0.0001,0.0004,0.0024,0.0004,0.0001,0.0009,0.0005,0.0032,0.0004,0.0001,0.0012
024gmssb5w,4,-151.7336,60.205,64,MS02,197.506,271.75,0.0942,0.0167,0.0291,0.005,0.0004,0.0107,0.0173,0.005,0.0004,0.0675,0.0167,0.0291,0.005,0.0004,0.0942
024gmssb5w,4,-151.7336,60.205,64,MS03,213.515,369.27,0.0272,0.0069,0.057,0.004,0.0004,0.0068,0.057,0.004,0.0003,0.0235,0.0069,0.0396,0.0036,0.0004,0.0272
024gmssb5w,4,-151.7336,60.205,64,NIKI,84.511,236.07,0.1854,0.0924,0.4301,0.0556,0.0037,0.0498,0.1901,0.0356,0.0024,0.0866,0.0924,0.4301,0.0556,0.0037,0.1854
024gmssb5w,4,-151.7336,60.205,64,O19K,156.668,408.29,0.0253,0.0098,0.0317,0.0041,0.0004,0.0098,0.0317,0.0041,0.0004,0.0253,0.0062,0.0164,0.0026,0.0002,0.0206
024gmssb5w,4,-151.7336,60.205,64,P16K,380.543,760.0,0.0012,0.0008,0.002,0.0008,0.0003,0.0006,0.0012,0.0007,0.0002,0.0005,0.0008,0.002,0.0008,0.0003,0.0012
024gmssb5w,4,-151.7336,60.205,64,P18K,224.5,760.0,null,0.0006,0.0023,0.0005,0.0001,0.0006,0.0023,0.0005,0.0001,0.0014,0.0003,0.0013,0.0005,0.0001,0.0009
024gmssb5w,4,-151.7336,60.205,64,PS11,399.725,760.0,0.0051,0.0015,0.0078,0.0014,0.0002,0.0014,0.0066,0.0014,0.0002,0.0049,0.0015,0.0078,0.001,0.0002,0.0051
024gmssb5w,4,-151.7336,60.205,64,PS12,388.321,760.0,0.0074,0.0017,0.0054,0.0012,0.0001,0.0017,0.0054,0.0011,0.0001,0.0074,0.0017,0.0048,0.0012,0.0001,0.0069
024gmssb5w,4,-151.7336,60.205,64,PWL,208.948,713.77,0.0373,0.0089,0.0265,0.0032,0.0003,0.0089,0.0265,0.0032,0.0003,0.0373,0.0079,0.0259,0.0029,0.0003,0.0323
024gmssb5w,4,-151.7336,60.205,64,Q23K,318.825,760.0,0.0015,0.0011,0.001,0.0007,0.0007,0.0011,0.0009,0.0007,0.0007,0.0015,0.0009,0.001,0.0007,0.0006,0.0013
024gmssb5w,4,-151.7336,60.205,64,RC01,159.447,508.98,0.034,0.0085,0.0277,0.0029,0.0002,0.0061,0.0262,0.0029,0.0002,0.034,0.0085,0.0277,0.0019,0.0002,0.033
024gmssb5w,4,-151.7336,60.205,64,RND,391.843,760.0,null,0.0004,0.0012,0.0004,0.0001,0.0004,0.0012,0.0004,0.0001,0.0006,0.0003,0.0008,0.0004,0.0001,0.0005
024gmssb5w,4,-151.7336,60.205,64,S19K,348.578,760.0,null,0.0006,0.0016,0.0005,0.0002,0.0004,0.0016,0.0005,0.0001,0.0006,0.0006,0.0011,0.0004,0.0002,0.0007
024gmssb5w,4,-151.7336,60.205,64,SAW,263.138,451.02,0.0025,0.0011,0.0053,0.0018,0.0001,0.0009,0.0053,0.0009,0.0001,0.002,0.0011,0.0039,0.0018,0.0001,0.0025
